date,open,close,high,low,volume,symbol
2021-09-25,42848.44,42705.51,42998.76,41675.0,7383.32390261,BTC/USD
2021-09-24,44896.55,42848.92,45200.0,40683.29,22451.57711462,BTC/USD
2021-09-23,43575.19,44897.59,45000.0,43096.73,13446.87468684,BTC/USD
2021-09-22,40736.81,43575.1,44035.44,40570.42,19462.53865157,BTC/USD
2021-09-21,43007.69,40719.6,43639.88,39600.0,27275.33818249,BTC/USD
2021-09-20,47253.71,43012.97,47358.92,42500.0,27706.67636162,BTC/USD
2021-09-19,48309.86,47255.92,48379.19,46850.87,7086.34626236,BTC/USD
2021-09-18,47306.87,48314.56,48825.62,47050.0,7491.03449237,BTC/USD
2021-09-17,47753.15,47303.5,48176.64,46752.67,9088.56956453,BTC/USD
2021-09-16,48144.03,47753.16,48499.99,47020.82,11739.27966629,BTC/USD
2021-09-15,47127.81,48148.12,48475.0,46705.0,12139.84206628,BTC/USD
2021-09-14,44953.23,47127.22,47274.92,44679.92,12644.16435358,BTC/USD
2021-09-13,46027.8,44947.72,46900.0,43465.0,15015.30289712,BTC/USD
2021-09-12,45173.66,46024.23,46462.98,44754.31,6499.85821749,BTC/USD
2021-09-11,44850.37,45171.83,45989.94,44730.29,6207.38337004,BTC/USD
2021-09-10,46396.26,44851.45,47040.76,44140.48,14905.54795341,BTC/USD
2021-09-09,46059.94,46400.0,47400.0,45511.82,13594.64633403,BTC/USD
2021-09-08,46894.49,46060.36,47381.47,44423.49,19624.55093117,BTC/USD
2021-09-07,52698.8,46894.5,52944.96,42830.77,29022.815351,BTC/USD
2021-09-06,51789.17,52698.81,52802.03,51020.08,9571.75471136,BTC/USD
2021-09-05,49944.89,51789.17,51907.08,49500.0,7743.93472308,BTC/USD
2021-09-04,50025.0,49942.98,50558.75,49400.0,7595.48816499,BTC/USD
2021-09-03,49279.38,50025.0,51064.44,48349.66,14577.22621879,BTC/USD
2021-09-02,48834.27,49279.37,50392.19,48620.73,14120.3826407,BTC/USD
2021-09-01,47110.33,48839.86,49125.0,46537.62,13010.83839478,BTC/USD
2021-08-31,46996.8,47112.5,48259.68,46708.93,12919.43970212,BTC/USD
2021-08-30,48802.58,46993.71,48906.51,46866.0,12249.23741495,BTC/USD
2021-08-29,48942.89,48802.58,49667.1,47801.0,6935.09511006,BTC/USD
2021-08-28,49081.08,48942.94,49309.83,48370.0,4895.70191319,BTC/USD
2021-08-27,46851.47,49077.57,49185.12,46361.01,8924.12247655,BTC/USD
2021-08-26,48991.57,46851.47,49365.1,46315.48,11651.34373853,BTC/USD
2021-08-25,47682.45,48987.33,49277.0,47122.02,9289.23177109,BTC/USD
2021-08-24,49504.53,47682.45,49875.9,47600.0,12068.33823315,BTC/USD
2021-08-23,49284.38,49506.5,50505.0,49012.84,10824.26838095,BTC/USD
2021-08-22,48870.21,49284.63,49526.13,48102.89,6243.39643384,BTC/USD
2021-08-21,49349.99,48867.02,49821.92,48285.28,9574.83615164,BTC/USD
2021-08-20,46769.02,49342.4,49400.0,46644.95,13184.67048641,BTC/USD
2021-08-19,44709.1,46765.87,47088.08,43955.0,11938.12185013,BTC/USD
2021-08-18,44675.34,44707.98,46035.27,44216.47,10327.49887365,BTC/USD
2021-08-17,45903.22,44671.58,47174.62,44405.39,12756.14777945,BTC/USD
2021-08-16,47014.38,45902.46,48076.52,45676.91,10467.66031475,BTC/USD
2021-08-15,47109.64,47014.49,47400.0,45525.19,7745.70200802,BTC/USD
2021-08-14,47833.64,47109.65,48176.52,46034.93,8130.36769388,BTC/USD
2021-08-13,44422.15,47833.64,47953.9,44249.64,11794.94196257,BTC/USD
2021-08-12,45553.1,44422.14,46223.95,43714.36,13169.78176994,BTC/USD
2021-08-11,45601.82,45553.49,46781.09,45350.74,11628.32043954,BTC/USD
2021-08-10,46280.0,45595.66,46718.44,44650.27,13756.50066875,BTC/USD
2021-08-09,43829.15,46285.48,46497.42,42821.3,19464.72493503,BTC/USD
2021-08-08,44628.11,43829.14,45363.83,43131.97,18712.27158173,BTC/USD
2021-08-07,42869.59,44637.34,44750.0,42457.27,19634.79475606,BTC/USD
2021-08-06,40888.73,42869.58,43399.26,39876.74,20425.1145444,BTC/USD
2021-08-05,39718.9,40888.74,41447.89,37300.0,28507.85532682,BTC/USD
2021-08-04,38189.4,39722.41,39965.1,37509.0,15327.67624669,BTC/USD
2021-08-03,39149.59,38191.44,39785.3,37627.21,15094.81739624,BTC/USD
2021-08-02,39859.18,39149.59,40459.68,38690.0,12379.41216528,BTC/USD
2021-08-01,41499.0,39865.41,42605.64,39426.0,10617.67293456,BTC/USD
2021-07-31,42233.66,41495.01,42414.61,41064.11,9351.94288576,BTC/USD
2021-07-30,40039.44,42237.95,42320.57,38342.0,15063.2344059,BTC/USD
2021-07-29,40035.1,40039.44,40644.85,39229.47,11022.42512817,BTC/USD
2021-07-28,39475.99,40035.1,40925.56,38803.34,27198.33358111,BTC/USD
2021-07-27,37262.76,39470.48,39550.0,36413.26,24709.10440908,BTC/USD
2021-07-26,35428.25,37262.77,40593.93,35251.54,40354.54555841,BTC/USD
2021-07-25,34291.67,35428.26,35451.04,33888.89,9434.63002297,BTC/USD
2021-07-24,33647.27,34283.01,34525.0,33424.7,9864.75243703,BTC/USD
2021-07-23,32287.75,33647.26,33647.27,32000.0,9004.84262627,BTC/USD
2021-07-22,32152.68,32287.74,32611.84,31729.68,7704.6404628,BTC/USD
2021-07-21,29796.15,32135.19,32825.0,29501.02,15598.47830878,BTC/USD
2021-07-20,30842.04,29796.16,31052.65,29301.56,18114.15286104,BTC/USD
2021-07-19,31786.37,30842.03,31887.82,30429.99,11027.00528966,BTC/USD
2021-07-18,31533.9,31788.25,32450.0,31125.6,5006.4831051,BTC/USD
2021-07-17,31389.57,31533.91,31949.99,31179.01,5695.57411588,BTC/USD
2021-07-16,31872.49,31388.06,32259.16,31025.42,10006.47793721,BTC/USD
2021-07-15,32815.75,31868.68,33187.6,31064.77,11273.61174025,BTC/USD
2021-07-14,32734.14,32816.39,33125.55,31600.0,10355.3186961,BTC/USD
2021-07-13,33077.43,32734.14,33337.61,32201.12,9478.04218884,BTC/USD
2021-07-12,34259.22,33091.1,34670.0,32665.0,10145.24046995,BTC/USD
2021-07-11,33515.35,34259.23,34607.37,33333.33,7023.06500489,BTC/USD
2021-07-10,33824.25,33515.35,34267.14,33027.83,4906.24582215,BTC/USD
2021-07-09,32875.95,33824.26,34100.0,32255.24,8320.90649257,BTC/USD
2021-07-08,33879.5,32875.95,33934.62,32111.0,14147.3525248,BTC/USD
2021-07-07,34225.72,33878.56,35077.46,33770.01,9404.8979867,BTC/USD
2021-07-06,33697.78,34225.73,35100.0,33300.0,10313.01368118,BTC/USD
2021-07-05,35284.06,33697.78,35290.82,33156.86,9607.60619891,BTC/USD
2021-07-04,34685.03,35284.05,35951.0,34390.53,6224.03057033,BTC/USD
2021-07-03,33805.01,34682.16,34953.07,33320.0,6197.80112922,BTC/USD
2021-07-02,33510.93,33805.02,33972.06,32704.73,11765.65389836,BTC/USD
2021-07-01,35060.0,33516.11,35066.54,32703.48,13210.9509733,BTC/USD
2021-06-30,35906.17,35060.0,36094.42,34033.0,16700.72309396,BTC/USD
2021-06-29,34493.22,35904.28,36675.0,34233.35,17917.59826258,BTC/USD
2021-06-28,34708.53,34493.22,35301.43,33864.99,14920.2647883,BTC/USD
2021-06-27,32267.59,34709.23,34749.0,32002.21,14428.92978925,BTC/USD
2021-06-26,31594.62,32275.19,32711.68,30173.49,18299.38702942,BTC/USD
2021-06-25,34654.87,31594.63,35500.0,31300.0,26505.19266978,BTC/USD
2021-06-24,33688.51,34654.58,35295.67,32300.0,16868.94084747,BTC/USD
2021-06-23,32538.9,33688.35,34881.02,31708.03,23124.81248294,BTC/USD
2021-06-22,31609.82,32538.37,33352.0,28800.0,48409.17333487,BTC/USD
2021-06-21,35585.79,31609.82,35741.54,31259.0,41304.39903519,BTC/USD
2021-06-20,35484.8,35585.78,36139.73,33347.05,19400.07454207,BTC/USD
2021-06-19,35840.96,35484.79,36457.18,34833.26,16801.08670642,BTC/USD
2021-06-18,38103.94,35841.81,38216.22,35153.16,23472.37724375,BTC/USD
2021-06-17,38351.0,38095.17,39554.98,37365.63,15970.35031651,BTC/USD
2021-06-16,40158.06,38351.0,40499.0,38105.0,17238.57541183,BTC/USD
2021-06-15,40537.93,40162.37,41322.55,39510.98,17020.70299457,BTC/USD
2021-06-14,39015.24,40539.47,41076.03,38744.83,21916.84415956,BTC/USD
2021-06-13,35557.32,39015.24,39396.0,34780.57,15748.96203951,BTC/USD
2021-06-12,37340.08,35557.33,37448.0,34635.47,14516.54556279,BTC/USD
2021-06-11,36694.91,37338.44,37695.0,35944.0,14142.19349961,BTC/USD
2021-06-10,37404.75,36694.05,38425.67,35800.0,19853.81418911,BTC/USD
2021-06-09,33402.13,37403.86,37573.99,32408.53,26040.89793254,BTC/USD
2021-06-08,33567.26,33402.13,34069.0,31004.95,34937.55754915,BTC/USD
2021-06-07,35800.48,33575.91,36812.39,33333.0,18997.71626987,BTC/USD
2021-06-06,35539.97,35800.48,36477.86,35258.0,8184.50324318,BTC/USD
2021-06-05,36856.53,35539.49,37921.35,34832.17,13654.69033381,BTC/USD
2021-06-04,39248.54,36856.52,39291.24,35593.22,17917.63251152,BTC/USD
2021-06-03,37581.83,39248.55,39489.82,37184.88,14325.7560692,BTC/USD
2021-06-02,36684.99,37577.91,38237.37,35920.0,13952.35891376,BTC/USD
2021-06-01,37276.23,36685.0,37918.97,35669.14,15713.10281689,BTC/USD
2021-05-31,35669.44,37279.31,37534.09,34183.0,19527.11600162,BTC/USD
